Sample	featurecounts-Assigned	featurecounts-percent_assigned
SRR14864064	25.823468	22.889708484108198
SRR14864065	20.809278	20.27605486230186
SRR14864066	16.490257	16.10577683529035
SRR14864067	40.088609999999996	44.576839815238884
SRR14864068	33.458245999999995	44.08424146998006
SRR14864069	39.13937	49.17685181437925
SRR14864070	39.643789999999996	49.39517564666887
SRR14864071	40.917879	43.530436964516355
SRR14864072	35.20032	44.71706758604461
SRR22293445	0.732398	13.417627923984643
SRR22293446	0.761548	13.316104214023431
SRR22293447	0.866397	12.833318990104356
SRR22293448	0.9002009999999999	14.692049948344494
SRR22293449	0.784377	12.475768242926426
SRR22293450	0.852421	13.111645743257721
SRR22293451	0.967634	14.414411998757032
SRR22293452	0.658662	11.96039386776093
SRR22293453	0.851761	10.815510034708229
SRR22293454	0.586746	12.09966188767148
SRR22293455	0.651045	11.26721831261964
SRR22293456	0.709017	12.128575556049354
SRR22293457	0.706548	11.970771953056753
SRR22293458	0.395432	5.544411856173275
SRR22293459	0.5323019999999999	7.800199583541538
SRR22293460	0.43097799999999997	5.504385852878519
SRR22293461	0.922056	9.535041891141047
SRR22293462	0.9078499999999999	9.016485514281324
SRR22293463	0.814132	8.061144661313048
SRR22293464	0.851466	14.499104476391993
SRR22293465	0.745231	9.60551611067538
SRR22293466	0.829187	16.169881582816757
SRR22293467	0.632987	12.49819335200927
SRR22293468	0.770709	14.10265817455143
SRR22293469	0.730692	16.96961251868083
SRR22293470	0.9209149999999999	16.223631962624065
SRR22293471	0.505423	5.963911364309491
SRR22293472	0.875012	15.739933101704656
SRR22293473	0.539852	6.815183290951891
SRR22293474	0.7009759999999999	14.752171863425145
SRR22293475	0.960517	12.997101582627899
SRR22293476	0.7535729999999999	12.09529042015787
SRR22293477	0.9039929999999999	12.687309434505117
SRR22293478	0.72254	14.098300200096975
SRR22293479	0.9628749999999999	13.586983363027263
SRR22293480	0.7220179999999999	8.646046161071585
SRR22293481	0.737259	14.067001421279274
SRR22293482	0.46654399999999996	5.903351572737363
SRR22293483	0.630691	7.496863979128775
