feature_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Montipora_capitata_HIv3___RNAseq.g37056.t1,461.1437237,-1.092145162,0.297763594,-3.667826365,0.000244621,0.006984494
Montipora_capitata_HIv3___RNAseq.g19189.t1,48.76151525,-2.702686554,0.737556964,-3.664376698,0.000247942,0.007048159
Montipora_capitata_HIv3___RNAseq.g15048.t1,152.6238929,-2.003528771,0.549978746,-3.642920362,0.000269562,0.007562957
Montipora_capitata_HIv3___RNAseq.g31535.t1,46.66885358,-5.045797902,1.385415865,-3.642081795,0.000270442,0.00756718
Montipora_capitata_HIv3___RNAseq.g18177.t1,371.674998,-1.006116625,0.276637641,-3.636947674,0.000275888,0.007662808
Montipora_capitata_HIv3___RNAseq.g25319.t1,54.68191248,1.337563622,0.368068392,3.634008381,0.000279052,0.007739595
Montipora_capitata_HIv3___RNAseq.g12414.t1,58.96378272,1.106733217,0.304852255,3.63039209,0.000282991,0.007793106
Montipora_capitata_HIv3___RNAseq.g18880.t1,701.9116115,-1.041638503,0.287011732,-3.629254088,0.000284241,0.00781454
Montipora_capitata_HIv3___RNAseq.g18885.t1,574.1955627,-1.04386614,0.288542366,-3.61772226,0.000297207,0.008081281
Montipora_capitata_HIv3___TS.g30012.t1,51.55915736,1.093355027,0.30458478,3.589657452,0.000331113,0.008817697
Montipora_capitata_HIv3___RNAseq.g6503.t1,75.79703628,-2.659805542,0.742863167,-3.580478423,0.000342966,0.009037645
Montipora_capitata_HIv3___RNAseq.g33444.t1,75.98398953,-1.165086603,0.326607747,-3.567235055,0.000360768,0.009375612
Montipora_capitata_HIv3___RNAseq.g19935.t1,408.2805593,-3.91598026,1.101375081,-3.555537371,0.000377207,0.009698831
Montipora_capitata_HIv3___RNAseq.g41714.t1,92.19246311,-1.259780632,0.354593785,-3.552743125,0.000381237,0.00977555
Montipora_capitata_HIv3___RNAseq.g21685.t1,1463.137638,-1.237098318,0.349807748,-3.536509193,0.000405452,0.010275171
Montipora_capitata_HIv3___RNAseq.g37259.t1,352.2399043,-1.173779426,0.332865057,-3.526292119,0.000421422,0.010596765
Montipora_capitata_HIv3___RNAseq.g34067.t1,38.88094535,-1.709595542,0.486821712,-3.511748756,0.000445169,0.011131911
Montipora_capitata_HIv3___RNAseq.g14825.t3,142.4497843,-1.220088739,0.347940648,-3.506600178,0.000453871,0.011281011
Montipora_capitata_HIv3___RNAseq.g49310.t1,81.394761,-1.540015967,0.439979353,-3.500200536,0.000464908,0.011496399
Montipora_capitata_HIv3___RNAseq.g8753.t2,641.4164029,-1.019470369,0.291314458,-3.499552942,0.000466039,0.01150968
Montipora_capitata_HIv3___RNAseq.g5424.t1,83.97144729,1.24133513,0.355318472,3.493584562,0.000476582,0.011710387
Montipora_capitata_HIv3___RNAseq.g9326.t1,2317.214512,-2.19449552,0.628565288,-3.491276982,0.000480718,0.011754719
Montipora_capitata_HIv3___RNAseq.7193_t,68.00890549,1.280646987,0.367013948,3.489368712,0.000484163,0.011806874
Montipora_capitata_HIv3___RNAseq.g17969.t1,66.86793907,1.174807299,0.338545239,3.470163408,0.000520142,0.012573553
Montipora_capitata_HIv3___RNAseq.g39380.t1,634.08738,-1.539268854,0.444660413,-3.461672794,0.000536829,0.012896544
Montipora_capitata_HIv3___RNAseq.g13424.t1,61.0892039,-3.114083307,0.900022759,-3.460005067,0.000540165,0.012960623
Montipora_capitata_HIv3___RNAseq.7052_t,68.7121012,-3.157901966,0.916528272,-3.44550415,0.000569995,0.0135257
Montipora_capitata_HIv3___RNAseq.g10187.t1,122.7270539,-1.809894466,0.525919808,-3.441388663,0.000578737,0.013664755
Montipora_capitata_HIv3___RNAseq.g41756.t1,179.8504107,-1.37597041,0.400375967,-3.436695813,0.000588857,0.013804307
Montipora_capitata_HIv3___RNAseq.g45357.t1,128.0428562,1.009464796,0.295047457,3.421364162,0.000623078,0.014430633
Montipora_capitata_HIv3___RNAseq.g28043.t1,82.9363231,1.43108349,0.419534182,3.411124888,0.000646955,0.014854318
Montipora_capitata_HIv3___RNAseq.g27644.t1,56.06409001,-1.564149197,0.458614313,-3.410598305,0.000648205,0.014854318
Montipora_capitata_HIv3___TS.g6493.t1,75.87181676,-1.214213445,0.358432206,-3.387567924,0.000705153,0.015804384
Montipora_capitata_HIv3___RNAseq.g745.t1,317.0734046,-1.589092665,0.469923454,-3.381598965,0.000720653,0.016077438
Montipora_capitata_HIv3___RNAseq.g9532.t1,884.1895628,-1.145997878,0.340733831,-3.363322843,0.000770102,0.016965882
Montipora_capitata_HIv3___TS.g30209.t1,103.1686512,1.006185676,0.299941562,3.354605712,0.000794782,0.017316378
Montipora_capitata_HIv3___RNAseq.g19363.t1,80.34423208,-2.02100992,0.603185781,-3.35055962,0.000806484,0.017455714
Montipora_capitata_HIv3___RNAseq.45294_t,67.84932384,-1.601936185,0.479284859,-3.342346741,0.000830732,0.017883938
Montipora_capitata_HIv3___RNAseq.g22636.t1,206.1654373,-1.49115861,0.446159661,-3.342208499,0.000831146,0.017883938
Montipora_capitata_HIv3___TS.g21384.t1,62.00687157,-1.696445502,0.507855512,-3.340409747,0.000836549,0.017980232
Montipora_capitata_HIv3___TS.g33354.t4,48.75385468,1.234708529,0.369988578,3.337153097,0.000846413,0.018054153
Montipora_capitata_HIv3___RNAseq.g12851.t1,153.8694161,1.07597304,0.323586065,3.325152589,0.000883702,0.018667022
Montipora_capitata_HIv3___RNAseq.g34571.t1,983.0809446,-1.179009265,0.354796661,-3.32305626,0.00089037,0.018742231
Montipora_capitata_HIv3___RNAseq.g9625.t1,81.31745146,-6.358738547,1.914279041,-3.321740672,0.000894578,0.018769678
Montipora_capitata_HIv3___RNAseq.g5302.t1,1894.480362,-1.164705629,0.351205506,-3.316308004,0.000912152,0.019076482
Montipora_capitata_HIv3___TS.g48046.t2a,2629.83409,-1.033107527,0.311911934,-3.312176975,0.00092573,0.019318752
Montipora_capitata_HIv3___RNAseq.g36870.t1,250.2315834,-1.256264978,0.380487711,-3.301722874,0.00096093,0.019967355
Montipora_capitata_HIv3___RNAseq.g6371.t1,68.60048241,-1.360181611,0.415370636,-3.274621488,0.001058036,0.021683034
Montipora_capitata_HIv3___RNAseq.g47593.t1,136.1312492,-1.313834509,0.403162695,-3.258819642,0.001118768,0.022735376
Montipora_capitata_HIv3___TS.g2415.t1,355.087684,-1.550703568,0.481403479,-3.221213882,0.001276488,0.025329869
Montipora_capitata_HIv3___RNAseq.g15706.t1,179.865184,-1.189652002,0.369525407,-3.219405157,0.001284568,0.025438129
Montipora_capitata_HIv3___RNAseq.g41497.t1,62.50160728,-2.27342659,0.706451603,-3.218092476,0.001290462,0.02550274
Montipora_capitata_HIv3___RNAseq.g32692.t1,89.74416099,-2.24396327,0.697968549,-3.214991955,0.001304482,0.025720659
Montipora_capitata_HIv3___RNAseq.g6146.t1,55.81631238,1.176333215,0.367154748,3.203916662,0.001355717,0.026521986
Montipora_capitata_HIv3___RNAseq.g19122.t1,125.0820829,-5.875400823,1.835583987,-3.200834647,0.001370301,0.026726392
Montipora_capitata_HIv3___RNAseq.g12139.t1,151.2513225,-2.562653357,0.801197014,-3.19853084,0.001381298,0.026913785
Montipora_capitata_HIv3___TS.g21280.t1,2566.537097,-1.612334025,0.504528431,-3.19572481,0.001394801,0.0271496
Montipora_capitata_HIv3___RNAseq.g14844.t1,368.6570722,-1.695473816,0.532195151,-3.185812222,0.001443483,0.027730443
Montipora_capitata_HIv3___TS.g24759.t1,107.3087502,-1.004136557,0.316821992,-3.169402953,0.001527525,0.029119095
Montipora_capitata_HIv3___RNAseq.g31084.t1,42.13045255,1.298164112,0.410778827,3.160250791,0.001576334,0.02981501
Montipora_capitata_HIv3___TS.g35729.t1a,60.37894745,1.593503016,0.506854439,3.143906602,0.001667086,0.031136612
Montipora_capitata_HIv3___RNAseq.g12951.t1,779.1269603,-1.237324255,0.395512282,-3.12840918,0.001757553,0.032420251
Montipora_capitata_HIv3___RNAseq.g37729.t1,72.77207801,1.016247229,0.325835404,3.118897503,0.001815291,0.033263749
Montipora_capitata_HIv3___RNAseq.g20958.t1,253.9731135,-1.66271294,0.533088462,-3.11901881,0.001814544,0.033263749
Montipora_capitata_HIv3___RNAseq.g19099.t1,134.4833554,-1.693093075,0.542924366,-3.118469496,0.00181793,0.033280643
Montipora_capitata_HIv3___RNAseq.g35676.t1,159.5622855,-1.348443056,0.433378585,-3.111466745,0.001861604,0.033856402
Montipora_capitata_HIv3___RNAseq.g231.t1,61.10362242,-3.650971737,1.175580428,-3.105675843,0.001898447,0.034333203
Montipora_capitata_HIv3___RNAseq.g3498.t1,64.99150758,-1.450612676,0.467875917,-3.100421763,0.001932453,0.034915618
Montipora_capitata_HIv3___TS.g14236.t1,101.279778,-1.908918617,0.617260171,-3.092567294,0.001984332,0.035746886
Montipora_capitata_HIv3___RNAseq.g16717.t1,72.61481066,1.01181848,0.32725986,3.091789139,0.001989541,0.035749836
Montipora_capitata_HIv3___RNAseq.g18598.t1,39.82539782,-1.972069279,0.63910132,-3.085691139,0.002030797,0.036320159
Montipora_capitata_HIv3___RNAseq.g48078.t1,37.36199693,-1.200048696,0.390680388,-3.071689119,0.002128513,0.037616662
Montipora_capitata_HIv3___TS.g10115.t1,80.17553433,-1.321857645,0.431292074,-3.064878132,0.002177587,0.038200079
Montipora_capitata_HIv3___RNAseq.g4255.t1,81.91933305,-1.993937259,0.65610837,-3.039036463,0.002373361,0.040718898
Montipora_capitata_HIv3___RNAseq.g28221.t1,147.0997886,-1.298474748,0.431784627,-3.007227832,0.002636421,0.044214785
Montipora_capitata_HIv3___RNAseq.g44661.t1,417.6380203,1.203090515,0.400490021,3.004046171,0.002664149,0.044641189
Montipora_capitata_HIv3___RNAseq.g18338.t1,86.73885934,-2.197120181,0.734979159,-2.989363921,0.002795589,0.046126036
Montipora_capitata_HIv3___TS.g5432.t1,1595.889627,-1.800013858,0.603813071,-2.981077995,0.002872356,0.04719184
